Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Murabaha Financing,"2,200,000,000","1,850,000,000","1,350,000,000","820,000,000","369,000,000","216,000,000","134,500,000","102,690,000","83,880,000","74,250,000","65,970,000"
Mudaraba Financing,"15,000,000","13,500,000","11,000,000","7,500,000","3,700,000","2,400,000","1,500,000","1,140,000","930,000","825,000","733,000"
Musharaka Financing,"28,000,000","24,000,000","18,000,000","11,000,000","5,500,000","3,600,000","2,200,000","1,710,000","1,400,000","1,230,000","1,100,000"
Ijara (Leasing) Financing,"143,875,000,000","116,782,000,000","51,455,000,000","25,656,000,000","11,793,000,000","7,684,000,000","4,412,000,000","4,233,000,000","4,347,000,000","3,975,000,000","3,071,000,000"
Sukuk Investments,"213,900,000","185,000,000","211,000,000","132,000,000","97,000,000","43,000,000","28,100,000","15,400,000","8,200,000","4,800,000","2,500,000"
SME Financing,"546,730,000,000","414,029,000,000","241,322,000,000","98,874,000,000","67,888,000,000","39,221,000,000","39,933,000,000","33,447,000,000","28,444,000,000","30,167,000,000","28,967,000,000"
Retail Financing,"219,991,000,000","192,756,000,000","100,608,000,000","59,394,000,000","43,013,000,000","25,071,000,000","18,759,000,000","19,297,000,000","17,867,000,000","17,985,000,000","15,304,000,000"
Corporate Financing,"559,867,000,000","418,445,000,000","318,078,000,000","207,490,000,000","120,509,000,000","82,669,000,000","56,826,000,000","49,190,000,000","35,524,000,000","27,683,000,000","21,794,000,000"
Non‑Performing Financing (NPF) ,"17,943,000,000","10,255,000,000","9,123,000,000","11,098,000,000","8,710,000,000","7,912,000,000","5,351,000,000","3,518,000,000","3,501,000,000","4,874,000,000","3,236,000,000"
